用户名,评论时间,IP属地,评论分数,有用数量,短评内容
心生,2016-03-05 10:53:17,,4星,44,怎么说呢，奥斯卡刚结束，明年最佳动画长片提名已确定一个了，迪士尼动画创作力令人感动！明确影射人间的作品，浓缩不同地貌，不同物种，反差的阴谋。在一部轻松的动画故事里，完成大量讽刺和批判！《教父》又被致敬了哈哈
乌鸦火堂,2016-03-06 20:56:05,,5星,36,看片时旁边坐一熊孩子，全程不捣乱，也跟大人们一起哄堂大笑，好久没见这种光景了。一部没有人类动画片打通全年龄级审美，迪士尼告诉我们，故事老套不要紧，也不怕内涵与深度问题，把角色替换一下，换个角度全是新意，狐跑兔萌CP，狮入羊口，树懒、夏奇拉、教父、大耳狐全是笑点与内涵，超赞
大-燕-威-王,2017-09-02 16:30:01,,5星,37,这部片子让我想到一个体制内的同事，他的想法是：动画片就是给小孩子看的，而且多数三观不正，他将来绝对不会让自己孩子看动画，要从小给他们进行爱国主义教育。他刚结婚，正在和他媳妇备孕。讲真，我真同情他们未出生的孩子。
小波福娃,2016-03-12 21:14:50,,5星,44,1)zootopia其实不是动物乌托邦，应该是动物园乌托邦，区别在于动物园本身包含了一种秩序格局和权力分配；2)明明是反刻板印象的动画片，各种笑点全部都要靠刻板印象来制造；3)兔子不是警察嘛，居然当了黑帮老大女儿的教母，黑白两道通吃，细思极恐。政治正确能拍这么有趣也是难得，很好看。
高歌,2016-03-05 22:23:11,,4星,56,好莱坞的政治正确病简直到了晚期……
Bless_U,2018-01-05 21:01:40,,3星,132,树懒真的超级搞笑，哈哈哈，不过狐狸形象不是很喜欢，觉得跟兔子没什么cp感。
琦殿,2016-03-04 16:17:48,,4星,67,兔子和狐狸没有CP感啊！
eita,2016-02-21 07:40:20,,5星,184,全程笑裂！超慢速水獭素预告片就已经笑死，还有🐑睡觉也要数绵羊的梗啊哈哈哈哈！既能教育小朋友树立正确价值观又能拉低笑点的好电影
朝阳区陆依萍,2016-03-04 20:54:41,,1星,69,天了噜，这居然是一部迪士尼动画.....
小痕呀,2018-04-04 22:16:53,,5星,21,是那种在电影院哈哈哈哈哈哈完，回家咂摸咂摸还挺有深意的那种喜剧动画片，我很喜欢，里面每个动物都塑造的非常立体，可以说是人类社会的一部分影射。
宁宁,2018-04-01 23:59:59,,5星,25,喜欢兔子和狐狸的组合，剧情很幽默，动画制作精良，给人留下深刻印象！必须五星！
贪吃的胖虎,2016-03-06 10:54:08,,3星,79,盛誉之下强拉了基友去看结果很失望。仅有的几个特别好笑的笑点都被预告片曝光了。对社会正义的讨论最后又是老套路通过抓住坏人和个人和解了结，结构性的批判说着说着就没下文了。
风信子,2018-03-30 07:35:49,,5星,36,超级温暖超级励志超级治愈，心情不好时的观看最佳选择。
慕詩,2016-09-26 14:45:35,,5星,20,适合跟小朋友一起看，很萌很可爱，场景效果很好！
橘猫爱吃鱼,2018-03-29 10:11:58,,5星,31,一部非常具有现实意义的动画片，情节很有张力，值得一看。
美神经,2017-08-01 22:50:38,,5星,20,最喜欢兔子朱迪了🐰
Adieudusk,2016-03-09 10:53:23,,3星,57,看了《疯狂动物城》，好莱坞帝国忧心忡忡，可仍然相信小人物能改变世界。这样骗孩子我都看不过去了。我喜欢狐狸，不喜欢这个电影。
熊想躺平,2016-03-06 08:58:45,,3星,72,豹子说兔子cute是歧视，警察局要AA。一些种族的天赋是生生生，另一些种族的天赋是抢抢抢。黑帮都是毛熊，地下室适合种草，Vote Bunny for utopia! 可怜了半个电影院的小盆友们。
夏树,2016-03-06 02:18:25,,5星,32,我想不出一种形容，能把这部电影和其他【好看】的电影区分开。是不能用语言形容的好看。狐狸和兔子的角色设定也是意味深长，影片三观极正。夏奇羊的演唱会上四只伴舞老虎，完美还原了现实里diva们的肌肉男舞团。以及，警察局的豹子前台，兔子隔壁很吵的邻居，估计一定可能绝对是同性恋没跑儿了……
