用户名,评论时间,IP属地,评论分数,有用数量,短评内容
连城易脆,2024-12-21 16:06:30,河北,4星,222,“如果阁下听不懂法条，那么我也略懂一些拳脚。”这个梗终于被搬上大银幕了！看得出来这次作为导演的甄子丹在功夫片上进行了多个不同维度的开发和加码。首先自然是最拿手的打戏，数了下一共5场，既有枪战也有肉搏，还覆盖了追车戏、巷战戏、群殴戏、小空间1V1戏等不同的动作类型，开篇的主视角镜头也很到位。然后自然是律政和警匪的双类型融合！其中难得的是法庭戏没有沦为打戏的背景和理由，反而认真建构了前中后的庭审辩论，更有真实案件打底，增添了现实性，许冠文+吴宇森的组合也构成了有力的保障。可见身为导演的甄子丹还是颇有追求的，希望这个IP可以衍生为一个系列持续拍下去，一个能文能武的甄子丹确实有宇宙丹的味儿了！
徐若风,2024-12-18 10:46:34,北京,4星,48,甄子丹自导自演，没想到完成度挺高，情节流畅、打戏不含糊。更重要的是改编自真人真事，几乎将2016的“马家健冤案”这起离奇误判案完全还原，扎根现实，充满良知与血性。有钱有势的人欺压底层，是件没有成本的事。而往深了挖，更能感受到它的敢拍，背后夹杂太多秘而不宣的要素：官商勾结、当权者抱团不作为、精明的连环设局……另外不得不说，都61岁了，甄子丹还是这么能打，以一敌百清兵线，随时摆出凌厉的招牌动作，真的强。
~,2024-12-24 01:08:48,湖南,4星,38,真正的功夫片真是看一部少一部
小艮,2024-12-21 16:23:41,上海,4星,147,带劲！这应该是当下这个时代能拿得出来的最凌厉的动作片了。甄子丹的角色从警队转向律政司，为能文能武的人设铺设了合理性。而影片的质量也很不错，也是文戏和动作戏兼备。武戏层层翻新，除了地铁恶战之外，还在多场戏里特意加入了第一视角，这是甄子丹电影的又一次突破。动作片往往文戏不佳，本片做得却挺扎实，案件调查抽丝剥茧，几个反派形象气场很足，让正邪对垒充满了力度与强度，也揭示了不少现实的灰色空间，有社会讽喻价值。
紅豬手黃藤酒,2024-12-30 23:08:46,北京,4星,39,新长的见识：香港公务员五十万一个月
mdr skywalker,2024-12-28 20:20:01,山东,4星,16,粤语版。爽片，剧情相当简单直接，带有为正义站台的主旋律性质，但甄子丹带来了相当漂亮的几场大型动作戏，很好地弥补了剧情的一些缺口，地铁的动作戏打的尤其漂亮，看下来还是一个很解气的故事，吴镇宇，张智霖，郑则仕和许冠文把乏味的文戏也给撑住了，适合下班解压。（7.5/10）
马呐呐,2025-01-04 23:16:51,江苏,2星,18,片尾弹出“导演：甄子丹”的时候整个影片就很合理了，甄导非常完美的演绎了一部分中年男人的幻想和自信。一星要给正义，还有一星给吕良伟。
朝阳区妻夫木聪,2024-12-19 11:24:23,北京,4星,32,霍子豪是一个有强烈抱负心的有志之士，因为在警队目睹了司法的不公，他决定另换赛道进入司法系统改变现状，这个铺垫对于理解人物很重要。尽管这个角色有非常强烈的理想主义色彩，甚至有些一根筋，但最终通过自己的言行感染了周围的人，同时他也非常清醒且务实，他知道自己迟早会“打不动”，未来需要靠年轻人们。透过这个人物，导演表明了他对于现实的关切——“就算再怎么文武双全，改变现状光靠一两个人的努力也是不够的。”同时这也让人联想到他近年来对于港产动作片的推动和提携。几场动作戏观赏性还是很强的，尤其是地铁大战一场戏，密闭狭长空间里尽可能通过丰富的调度展现不同招式，利用光影的变化来营造氛围，拳拳到肉，打得过瘾。整体节奏张弛有度，娱乐性和现实表达兼具。
わかば,2025-01-04 11:05:04,河北,2星,17,你们不要再打啦，要打去法庭里打啊
20个小明≯,2024-12-22 23:10:16,北京,3星,68,为了凸显孤勇大男主对抗全世界，很多地方用力过猛，反派团伙后程更是全员降智，而且案子的起因就有点站不住脚，诉辩交易一般基于被告真的不干净+证据不利，片中这种情况脑残才会一上来就选择认罪吧…
