用户名,评论时间,IP属地,评论分数,有用数量,短评内容
谢谢你们的鱼,2010-01-23 17:07:36,,2星,166,不喜欢让雷诺，不喜欢这部电影，就这么简单
My Soul,2022-02-22 13:55:15,,3星,206,一度怀疑我的欣赏能力，豆瓣top4的电影，在我看来真的很一般……
脾气不好的女人,2020-11-12 10:17:28,,1星,113,论如何让恋童癖合理化的方法就是让未成年去主动追求老男人，老男人百般推拒最后“为难”地接受。
storyteller,2021-10-10 11:28:31,,5星,84,网飞最近租了这部的线上放映权，却把最关键的几段情节剪掉了（不知道和当年公映版的删减内容是否一致）。这几段情节包括：玛蒂尔达与里昂搭档出击、二人在高档餐厅饮酒傻笑、以及玛蒂尔达被里昂救出之后的夜戏。网飞的删减逻辑指涉明确，主要试图回避三个敏感议题：青少年持枪与暴力犯罪、未成年人饮酒、以及有娈童嫌疑的艺术表达。删减后的故事，不再是一个老灵魂如何与一个困在中年男子身体里的少年相依为命的故事，而是变成了“冲动小女孩如何坑死职业杀手”的故事。
yunyan,2017-12-24 21:18:25,,4星,183,Leon可谓是史上最为可爱以及百变的杀手。如果你想找个杀手做男朋友，并且带有那么一丁点儿“叔叔控”，那么Leon无疑是最好的选择。
熊野爷(创业版,2011-09-13 01:37:05,,5星,293,每一秒都是经典
momo,2024-01-08 20:41:04,广东,3星,148,我可以接受故事中的二人存在爱情，但是没必要让镜头充满恋童性暗示。。。。。。
冰红深蓝,2012-02-20 00:08:51,,5星,40,【20170618SIFF4K修复版重温】视听语言方面的确精湛无比，尤其是摄影（升降手持鱼眼都是教科书级的），还有开场的大特写组合剪辑。配乐和表演已经是公认的无可挑剔了。五年多前看的时候的确不很喜欢这个颇具古典悲剧内核的故事，没想到这次重温竟然能完全沉浸其中。ps：那时的波特曼太仙了。（9.0/10）
Qing,2016-11-26 03:09:47,,5星,122,爱让里昂心甘情愿有了弱点。别名可以叫这个杀手有点萌，全程无尿点高能好片。
赫恩曼尼,2012-06-29 14:35:45,,5星,88,“他们都是12岁，他们都感到失落而他们深爱彼此。”总让我想起纳博科夫的《洛丽塔》。之前想象的爱情太过狭隘，英雄相惜也是一种伟大的爱情。这种爱情，发生在一个小姑娘和一个冷血杀手之间，味道奇绝。换一个方式相爱，或许会找到真正的彼此。
甜椒Oli,2017-03-10 15:21:03,,5星,241,我爱你所以我不会吻你。
△▲凉度▲△,2009-11-05 12:47:59,,5星,212,我真的很喜歡他，很喜歡她，很喜歡他倆的帽子
