用户名,评论时间,IP属地,评论分数,有用数量,短评内容
南极海盐,2023-02-12 07:28:44,美国,5星,344,rose真好！为什么二十五年前就能拍出这种电影啊😭😭
乔小囧,2010-10-03 03:20:13,,5星,290,13年后，我才看了这部经典大片。美国人的商业片，从来都那么深入内心。我不可脱俗的被这场爱情感动，或者说我感动的是对爱的态度。灾难来得突然，对爱的考验也来得突然，容不得你准备，你必须用生命来完成这道题目。真爱，不会露怯。假爱，总会在灾难面前显得那么可笑。海洋没心，但你有海洋之心。
阿涩,2023-04-15 15:24:05,北京,5星,161,经典之所以为经典。第一次在大荧幕上看这部电影，再看依然后劲很大。其实直到这次买票的时候才发现这部电影居然有三个多小时。群像、人性、爱情，每个方面的塑造都是丰满的，细节之丰富和到位不会让我觉得有一个镜头是多余的。看到一位网友的说法觉得很对，Rose从来不是玻璃罩里的玫瑰，她是在笼子里哀啼却没有人听到的鸟。爱情也不是救赎，Jack只是向Rose伸出了手，但她最终还得靠自己展开双翼。（另外凯特温斯莱特真的好美啊，真的会让我联想到热烈又娇嫩的玫瑰花瓣。）看到Jack刚登上船时迎着海风喊出“I'm the king of the world”的时候真的眼眶湿润，他就这样停留在最意气风发的年纪了啊。
Dream°◊well,2022-08-05 23:49:18,,5星,178,94/100。因为之前已经知道不少剧情了，所以一直也没有太大兴趣看。但终于看完了这部影片后，我真的非常触动。果然好的电影不只在于讲了什么故事，还在于怎么讲出了这个故事。
啊蓝天啊云好多,2023-03-03 23:28:58,四川,5星,219,女主太勇敢了，爱情真的能给人这么大的勇气吗？5+
1010不是0,2023-01-31 19:36:49,重庆,5星,174,小李子乍一看一般般帅，但是Jack的人设让他看起来超级帅
饿霸地煮,2023-04-06 19:28:31,上海,5星,50,一半天堂一半地狱，一半自由一半不自由，一半公平一半不公平。整个古典欧洲，十八世纪以降的荣耀龌龊典雅智慧愚昧孤独惆怅，都被装进了一艘大船。大船崩溃的时候，听到包法利夫人在救生船上尖叫，安娜卡列尼娜冲向火车，伯爵家的苔丝抓住谁的手奔赴绝地，盖茨比松开手沉入绿光里永恒的寂静，堂吉诃德穿着盛装等待穹顶的末日，圣母院的克罗德逃不过命运的审判和好运的遗弃，马吕斯与珂赛特砸烂铁门向上跑，沙威一枪了结了自己，卡顿被送上断头台，老人与海原来说的是音乐家与海…1912以后是一战二战，是革命革命，原来这是一次上帝的警告，不要太傲慢了…如果一辈子只看一部电影，就是它了。
r00yr,2023-04-15 23:10:07,湖北,5星,157,会为rose身上迸发出的女性主义光芒所倾倒，拿起斧头的时候简直帅呆了。
緩慢,2005-07-10 05:45:11,,2星,129,……………是的，這種片子我也哭過。細個嘛。
那就迟到吧,2023-02-13 13:18:17,美国,5星,176,25年，终于看过这部电影，经典不愧是经典。美得像天神一样的温斯莱特，又年轻又帅到令人发指的小李子，被打碎的美好才更动人。
