用户名,评论时间,IP属地,评论分数,有用数量,短评内容
不良生,2012-05-24 08:27:28,,4星,168,某段时间我们都是那个少女，某段时间我们都是那个少男。
酒鬼一家小迷妹,2018-01-20 18:25:27,,5星,182,女孩之于男孩，就是那个彩虹般绚烂的人，虽然我是女的，但是也想要个善良，真诚，有主见如女主的小青梅啊。一部处处有哲理的温情片，强烈推。
小十三,2017-12-30 23:43:45,,4星,273,看了三遍，每年都会拿出来看，起初觉得男女主一定要在一起，为什么男主这么别扭，到现在，觉得其实有没有在一起又如何，成长才是最重要的吧，看人不是凭一时冲动，学会全面的认识那些对自己重要的人，才是本事
毛利,2011-01-04 23:56:34,,3星,219,一个暗恋女苦尽甘来的故事，美式罐装心灵鸡汤，看来很多人都喝high了。
马赛克,2010-12-08 20:53:56,,2星,103,尴尬肤浅的低幼小清新，这种片在你瓣也能捧上天
苏午饭,2018-01-25 20:45:42,,4星,79,好久好久之前看过 已经忘了具体的剧情了 只记得那段美好的感情 叫做“怦然心动”
战国客,2010-12-12 21:51:41,,4星,90,如果当年我上学时有“篮子女孩”的活动，又会怎样？……哈哈
白洛猫,2022-04-05 02:31:51,,3星,123,不理解为什么9.1分还在top250排这么靠前，感觉就是很普通的美式家庭电影……抱歉纯爱也并没有打动我。整部片完全不能共情
大宸,2010-12-01 09:55:56,,4星,76,美国小清新罢了，Callan McAuliffe真是帅气...
滚滚的麻麻,2017-08-15 00:39:36,,4星,65,清新自然，不过我这样晚熟的人，不容易代入孩子们的小世界。
葵花卷,2012-04-11 09:02:49,,4星,108,有人住高楼，有人在深沟，有人光万丈，有人一身锈，世人万千种，浮云莫去求，斯人若彩虹，遇上方知有。
STAYREAL,2022-09-10 10:25:18,北京,5星,113,长大之后再一次看这个电影，发现这个关于初恋的电影的外沿远大于爱情。关于家庭，女主的家庭虽然拮据，但是充满了尊重，理解和快乐，父亲不抛弃智力低下的弟弟，母亲深爱坚强和热心肠的父亲，在睡觉前妈妈会贴着女儿的脸颊说她是自己最大的福气。女主并没有因为自己的家庭感到羞耻，而是相信自己有最好的父母。对于爱情，也没有全程恋爱脑。懵懂时期的怦然心动和心智成熟后的逐渐清醒，我看到了一位独立理智的青春期女孩。在看清帅哥的“整体小于部分之和”之后，放下悸动走向平和。双视角叙事，能让观众感知到男主其实也没有特别坏，只是很怯懦，所幸他最后终于战胜怯懦的内心，希望他能够更勇敢吧。
蓝色啄木鸟,2017-01-08 20:34:04,,5星,65,偶然看到的剧，意外的好看，浓浓的美式乡村小清新纯爱剧，中英文版都看了一遍。外国小男生小女生好早熟哦，学校还安排这种与喜欢的男生独处时间的拍卖，场面蛮搞笑的！男主颜挺正，眼睛很好看！女主是童星拍了不少温情片，演技超厉害，很有灵气，期待他们的成长！
吃薯片的猫,2012-06-12 12:35:35,,5星,60,非常温暖的一个片，看完心情很好
CyberKnight电子骑士,2010-12-06 11:07:40,,5星,50,rob reiner又回来了！不亚于stand by me的优秀之作！让拍个莎莫500天就显得很牛的人看看，老家伙玩小清新更纯属有味道。毫不刻意煽情，男孩的转变非常细腻可信，年度最温馨可爱的电影之一。
Dust N Bones.,2021-09-07 18:13:12,,5星,84,斯人若彩虹，遇上方知有。“我心都要碎了，可他们却在讨论永动机。”我暗恋她的时候，也是这样的感受。
grace-xhu,2018-02-27 09:48:25,,4星,67,很纯爱的电影，两个小孩子其实从见面的第一眼就注定会喜欢对方，只不过因为性格的原因，小女孩比较主动，而小男孩后知后觉。还是很美好的。
听君一席话,2018-01-13 00:20:20,,3星,98,还可以吧   青梅竹马    不过没有打动我
鳞片爪爪,2021-03-26 11:44:31,,3星,88,我真的Get不到啊！全程看得难受。一个很棒的小女孩，喜欢上一个讨厌鬼男孩的故事。这哪里甜了，这不是一个颜控遇到混蛋的悲惨故事吗
西楼尘,2013-08-21 22:43:13,,5星,52,真希望能和更多这样美好文艺的怦然心动相遇。人设不是我喜欢的类型，但是就是恰到好处地戳中你的心坎。
shininglove,2022-03-28 23:54:26,,3星,70,如果二十岁看时没有被打动，三十岁就更不会了，电影一旦有洁癖，便很难投入共情。
TORO VAN DARKO,2010-12-01 10:33:55,,4星,39,莱纳继《伴我同行》后再度讲述上世纪六十年代的成长故事，只是这一次是关于爱情。影片的双线旁白在最后合二为一煽情效果不俗。不过之前对两人情感纠葛过多的描述稍显拖沓。“整体和部分“不止存在于人身上更是在生活中，至于结果是谁大于谁，是由我们自己决定。一个如此萌的正太站在面前，谁不会心动？
临城酒肆lz,2018-02-12 08:57:18,,4星,44,很经典的一部温情电影 同学一直推荐看，终于找时间看完了。 少年时期的感情永远是那么美好，珍惜吧这最后的青春时光。
juvenile,2018-02-08 10:25:37,,5星,67,是真的让人怦然心动了，高高的梧桐树上开阔的风景，我也想拥有
Treading Water,2023-05-06 17:17:44,湖北,3星,65,大概是豆瓣top250前50名里最过誉的一部，如果是8分左右的话可以理解，但9+真的太夸张了。不知道是已经过了年龄，还是看片情境不对（无聊的数字人文课），或是今天很心烦的缘故，总之没有看进去。两个不错的地方：导演的叙事手法不错，男女主双线独白很有创意；初恋的悸动感很真实，青春气息十足。但其他方面都很平庸，无论是故事还是表演。鉴于我评星的标准蛮高，目前为止打过的三星电影其实水准都还可以，那这部也一样吧～
伊兰月,2021-10-05 14:36:46,,4星,54,我以为女孩看到男孩腐朽的内心，便不再迷恋，没想到还是:世间风景万千，不及绣花枕头般的男孩多看你一眼。或许我不该用大人的眼光去看待小孩纯粹的初恋。
樱花飞舞时,2018-03-30 07:26:56,,4星,36,青春成长过程中，初恋的美好与悸动，它会让你困惑，它会让你窃喜，它会让你难以忘记。
林文清,2017-12-20 10:41:10,,1星,489,豆瓣最不可理喻打分之一……
PPPANKK,2017-12-20 23:56:51,,4星,157,Juli真是满身光环，绚烂如彩虹，怎么可能不为她心动呢。
默默的蘑菇,2016-11-04 12:42:00,,3星,44,年少时的心会随着一个笑容而有变化，一件非常小的人事都会被放大再放大，所以需要被保护，有些东西来得太容易，所以才不被珍视。无论是别人对你的哪一张善意，都应该被珍视。
李斯本,2011-08-30 22:48:08,,4星,55,爱人的眼睛都会笑，其他人的眼睛都看不到。
刘康康,2012-12-27 09:37:50,,4星,35,初恋的悲剧就在于跟初中女生相比初中男生就是个傻逼啊，这片儿要搁亚洲拍绝对是一悲剧结局，就像那些年或者建筑学概论，男人念叨着曾经有一份真挚的感情摆在我面前可惜我没有珍惜等到失去时才后悔莫及。双视点的运用导演控制得恰到好处，反正我作为观众没有因为相同情节讲两次而感到烦躁。女主角真美。
王妃的故事,2021-12-18 18:20:25,,3星,73,票房惨淡却被中国网友捧上天？果然白嫖不心疼钱，这片预算1000万美元，票房才140万，美国人民不瞎。
维城乱马,2013-02-23 10:15:30,,5星,64,看了十分钟之后我就明白了，为什么我只是在豆瓣上点想看就获得了几十个“赞”……有一个朱丽这样懂事和坚强的女儿或者女朋友实在太幸福了。
大島,2018-07-01 00:43:55,,5星,40,女权主义者梦想中的大会在1963年的美国已经召开
是我啊,2022-05-03 18:20:19,,5星,89,▲女生十几岁就有超脱的自省意识，审视自己爱的人到底值不值得爱。一旦触及她的自尊，立刻决定放弃这个男生。我们文化里的“爱”，似乎都要低到尘埃里舍弃自尊才叫爱，把犯贱当真爱。▲“相爱的父母胜过富有的父母”有一对相爱的父母是孩子一生的幸福，这的确比任何东西都要重要
宁宁,2018-03-28 00:24:36,,5星,37,纯纯的初恋，很甜很暖，里面的插曲也很好听，必须五星！
🧸,2013-12-13 08:39:01,,3星,60,觉得不太好看 为什么分这么高呢
luna的森林,2016-05-21 20:00:24,,5星,22,很好看(｡･ω･｡)ﾉ♡
艾小柯,2010-12-11 17:27:31,,4星,43,4.5星，年度最令人感动的电影。
江户川乱语,2020-12-02 22:01:21,,5星,62,当我们还在反对中学生早恋的时候，人家中学生在干什么？！爱不是洪水猛兽，它可以和我们一起成长。“斯人若彩虹，遇上方只有”。
已注销,2018-01-22 14:46:32,,5星,148,这是一部百看不厌的小清新电影，真的很治愈。这样美好、勇敢的朱莉·贝克，谁能不喜欢呢。最喜欢电影里的那颗高大的梧桐树，爬上它，就好像能看到全世界。
甜椒Oli,2017-03-10 15:24:20,,5星,34,"没有人真正的需要救赎。The higher I got, the more amazed I was by the view."
事儿妈,2016-09-22 09:58:13,,4星,35,有的爱情，没有波澜壮阔，不是撕心裂肺，却仍旧叫人怦然心动。本片描述的是一对平凡的青梅竹马之间的那些看起来平凡普通的日常小事，但是却仍旧动人心弦充分体会到爱情的美妙。我想这就是本片细节描写及真诚用心的妙处。
文泽尔,2010-12-23 08:12:18,,4星,24,"Gimme your lips for just a moment and my imagination will make that moment live. Gimme what you alone can give, a kiss to build a dream on."
默,2017-12-27 20:30:49,,5星,128,我心中最美好的一部青春电影，很喜欢。男女主都好看，演的也很好，两个人各自的角度和转变很自然，让人跟着主角的心理活动如戏。每个人青春中都有那么些自以为是和小傲娇，小心思，也许以后某刻幡然醒悟，后悔曾经那不懂事的自己，可都是美好的经历，因为当初的傻乎乎，才有那样的记忆。
湛湛,2012-03-01 18:31:02,,2星,94,真的理解不了了，怎么就那么高分，每天看个5分钟，看了半个月才勉强看完
卡比巴拉的海,2017-04-06 15:26:35,,3星,27,真正的幸福是来自内心深处
你看起来很美味,2012-04-30 15:30:34,,5星,38,看完了之后我对男主角怦然心动了怎么办......
桃星,2016-10-17 22:46:37,,5星,41,虽说男主的颜好看，但是非常讨厌他的性格！
挽梦忆笙歌,2018-05-23 17:01:59,,4星,29,纯纯的爱恋，第一眼就是一眼万年，遇到对的人，爱情并不需要多惊心动魄
喜喜,2015-10-19 22:19:45,,5星,39,青少年的爱情没有算计没有利用。即使他们走不了太远，但是假装计划未来的样子仍然让我门这些满脑子利益和功利的成年人羡慕不已。
蓝下老婆,2017-05-27 11:31:55,,5星,27,很羡慕女主，有对自己的认知，感性和理性完美的结合
大头绿豆,2011-05-29 21:12:56,,5星,27,前半截会觉得过了，但，可能那样才是最合适的。”我们中有的人暗淡无光，有的平平无奇，有的则光彩照人。但是很偶尔，你才会遇到那些彩虹般绚烂的人。当你真正遇到时，其他人都不再重要了。“met&miss.”一路上的沉默胜过千言万语。“
